year,canton,haildays_sum,lat_lon,haildays_per_point
2019,BE,5203,5988,0.8689044756179025
2020,BE,1837,5988,0.30678022712090847
2021,BE,12561,5988,2.097695390781563
2022,BE,17525,5988,2.926686706746827
2002,BL,820,545,1.5045871559633028
2003,BL,287,545,0.5266055045871559
2004,BL,520,545,0.9541284403669725
2005,BL,766,545,1.4055045871559633
2006,BL,1419,545,2.603669724770642
2007,BL,643,545,1.1798165137614678
2008,BL,453,545,0.8311926605504587
2009,BL,1062,545,1.9486238532110092
2010,BL,484,545,0.8880733944954129
2011,BL,645,545,1.18348623853211
2012,BL,143,545,0.26238532110091745
2013,BL,22,545,0.04036697247706422
2014,BL,104,545,0.1908256880733945
2015,BL,505,545,0.926605504587156
2016,BL,163,545,0.29908256880733947
2017,BL,466,545,0.8550458715596331
2018,BL,344,545,0.6311926605504588
2019,BL,153,545,0.28073394495412846
2020,BL,101,545,0.1853211009174312
2021,BL,507,545,0.9302752293577982
2022,BL,941,545,1.726605504587156
2002,BS,45,19,2.3684210526315788
2003,BS,5,19,0.2631578947368421
2004,BS,31,19,1.631578947368421
2005,BS,37,19,1.9473684210526316
2006,BS,17,19,0.8947368421052632
2007,BS,17,19,0.8947368421052632
2008,BS,32,19,1.6842105263157894
2009,BS,52,19,2.736842105263158
2010,BS,32,19,1.6842105263157894
2011,BS,19,19,1.0
2012,BS,6,19,0.3157894736842105
2016,BS,35,19,1.8421052631578947
2017,BS,12,19,0.631578947368421
2018,BS,21,19,1.105263157894737
2019,BS,12,19,0.631578947368421
2020,BS,10,19,0.5263157894736842
2021,BS,24,19,1.263157894736842
2022,BS,77,19,4.052631578947368
2002,FR,389,1583,0.24573594440934934
2003,FR,2950,1583,1.8635502210991788
2004,FR,655,1583,0.41377132027795327
2005,FR,1203,1583,0.7599494630448516
2006,FR,1170,1583,0.7391029690461149
2007,FR,1607,1583,1.0151610865445357
2008,FR,2756,1583,1.7409981048641818
2009,FR,2328,1583,1.4706253948199621
2010,FR,462,1583,0.29185091598231205
2011,FR,106,1583,0.06696146557169931
2012,FR,229,1583,0.14466203411244472
2013,FR,253,1583,0.15982312065698043
2014,FR,486,1583,0.30701200252684774
2015,FR,1089,1583,0.687934301958307
2016,FR,648,1583,0.40934933670246365
2017,FR,768,1583,0.48515476942514213
2018,FR,1141,1583,0.7207833228048011
