Kanton;Jahr;Total_KFZ
VS;2008;175605
VS;2009;181230
VS;2010;185530
VS;2011;191508
VS;2012;197712
VS;2013;201380
VS;2014;205075
VS;2015;209439
VS;2016;213611
VS;2017;217251
VS;2018;220259
VS;2019;221496
VS;2020;223780
VS;2021;227695
VS;2022;229719
ZG;2005;62206
ZG;2006;61928
ZG;2007;63392
ZG;2008;64963
ZG;2009;65159
ZG;2010;66963
ZG;2011;68959
ZG;2012;71061
ZG;2013;72770
ZG;2014;74798
ZG;2015;76957
ZG;2016;79137
ZG;2017;80904
ZG;2018;85023
ZG;2019;86373
ZG;2020;89070
ZG;2021;92075
ZG;2022;94812
ZH;2005;651102
ZH;2006;658731
ZH;2007;674948
ZH;2008;665751
ZH;2009;658814
ZH;2010;669381
ZH;2011;681387
ZH;2012;693864
ZH;2013;701419
ZH;2014;709008
ZH;2015;723697
ZH;2016;731975
ZH;2017;737247
ZH;2018;740710
ZH;2019;742388
ZH;2020;745059
ZH;2021;753768
ZH;2022;754340
